time,0014.4F01.0000.3560,0014.4F01.0000.7811,0014.4F01.0000.35EC
2013-09-17 21:10:38.541,73,,
2013-09-17 21:10:39.151,,69,
2013-09-17 21:10:40.047,,,78
2013-09-17 21:10:41.543,74,,
2013-09-17 21:10:42.152,,69,
2013-09-17 21:10:43.049,,,78
2013-09-17 21:10:44.544,75,,
2013-09-17 21:10:45.153,,69,
2013-09-17 21:10:46.05,,,77
2013-09-17 21:10:47.546,74,,
2013-09-17 21:10:48.154,,69,
2013-09-17 21:10:49.051,,,78
2013-09-17 21:10:50.547,74,,
2013-09-17 21:10:51.155,,69,
2013-09-17 21:10:52.052,,,78
2013-09-17 21:10:53.548,73,,
2013-09-17 21:10:54.156,,69,
2013-09-17 21:10:55.053,,,77
2013-09-17 21:10:56.55,74,,
2013-09-17 21:10:57.157,,69,
2013-09-17 21:10:58.054,,,77
2013-09-17 21:10:59.552,74,,
2013-09-17 21:11:00.158,,69,
2013-09-17 21:11:01.055,,,77
2013-09-17 21:11:02.553,75,,
2013-09-17 21:11:03.159,,69,
2013-09-17 21:11:04.056,,,77
2013-09-17 21:11:05.554,73,,
2013-09-17 21:11:06.16,,69,
2013-09-17 21:11:07.057,,,77
2013-09-17 21:11:08.556,73,,
2013-09-17 21:11:09.161,,69,
2013-09-17 21:11:10.058,,,77
2013-09-17 21:11:11.558,74,,
2013-09-17 21:11:12.162,,69,
2013-09-17 21:11:13.059,,,77
2013-09-17 21:11:14.56,74,,
2013-09-17 21:11:15.163,,69,
2013-09-17 21:11:16.06,,,77
2013-09-17 21:11:17.561,75,,
2013-09-17 21:11:18.164,,69,
2013-09-17 21:11:19.061,,,77
2013-09-17 21:11:20.562,73,,
2013-09-17 21:11:21.165,,69,
2013-09-17 21:11:22.062,,,77
2013-09-17 21:11:23.563,74,,
2013-09-17 21:11:24.166,,69,
2013-09-17 21:11:25.063,,,76
2013-09-17 21:11:26.566,74,,
2013-09-17 21:11:27.167,,69,
2013-09-17 21:11:28.064,,,77
2013-09-17 21:11:29.567,74,,
2013-09-17 21:11:30.168,,69,
2013-09-17 21:11:31.065,,,76
2013-09-17 21:11:32.568,74,,
2013-09-17 21:11:33.169,,69,
2013-09-17 21:11:34.066,,,77
2013-09-17 21:11:35.569,73,,
2013-09-17 21:11:36.17,,69,
2013-09-17 21:11:37.067,,,76
2013-09-17 21:11:38.573,73,,
2013-09-17 21:11:39.171,,69,
2013-09-17 21:11:40.068,,,211
2013-09-17 21:11:41.574,74,,
2013-09-17 21:11:42.172,,69,
2013-09-17 21:11:43.069,,,77
2013-09-17 21:11:44.575,74,,
2013-09-17 21:11:45.173,,69,
2013-09-17 21:11:46.07,,,77
2013-09-17 21:11:47.576,74,,
2013-09-17 21:11:48.174,,69,
2013-09-17 21:11:49.071,,,77
2013-09-17 21:11:50.577,73,,
2013-09-17 21:11:51.175,,69,
2013-09-17 21:11:52.072,,,77
2013-09-17 21:11:53.579,73,,
2013-09-17 21:11:54.176,,69,
2013-09-17 21:11:55.073,,,77
2013-09-17 21:11:56.58,73,,
2013-09-17 21:11:57.177,,69,
2013-09-17 21:11:58.074,,,77
2013-09-17 21:11:59.582,74,,
2013-09-17 21:12:00.178,,69,
2013-09-17 21:12:01.075,,,77
2013-09-17 21:12:02.583,74,,
2013-09-17 21:12:03.179,,69,
2013-09-17 21:12:04.076,,,77
2013-09-17 21:12:05.584,74,,
2013-09-17 21:12:06.18,,69,
2013-09-17 21:12:07.077,,,77
2013-09-17 21:12:08.585,73,,
2013-09-17 21:12:09.181,,69,
2013-09-17 21:12:10.078,,,77
2013-09-17 21:12:11.586,75,,
2013-09-17 21:12:12.182,,69,
2013-09-17 21:12:13.079,,,77
2013-09-17 21:12:14.587,74,,
2013-09-17 21:12:15.183,,69,
2013-09-17 21:12:16.08,,,77
2013-09-17 21:12:17.588,74,,
2013-09-17 21:12:18.184,,69,
2013-09-17 21:12:19.081,,,77
2013-09-17 21:12:20.591,73,,
2013-09-17 21:12:21.185,,69,
2013-09-17 21:12:22.082,,,77
2013-09-17 21:12:23.592,73,,
2013-09-17 21:12:24.186,,69,
2013-09-17 21:12:25.083,,,77
2013-09-17 21:12:26.594,74,,
2013-09-17 21:12:27.187,,69,
2013-09-17 21:12:28.084,,,77
2013-09-17 21:12:29.595,74,,
2013-09-17 21:12:30.188,,69,
2013-09-17 21:12:31.085,,,77
2013-09-17 21:12:32.598,74,,
2013-09-17 21:12:33.189,,69,
2013-09-17 21:12:34.086,,,77
2013-09-17 21:12:35.599,73,,
2013-09-17 21:12:36.19,,69,
2013-09-17 21:12:37.087,,,77
2013-09-17 21:12:38.601,74,,
2013-09-17 21:12:39.191,,69,
2013-09-17 21:12:40.088,,,76
2013-09-17 21:12:41.602,73,,
2013-09-17 21:12:42.192,,69,
2013-09-17 21:12:43.089,,,76
2013-09-17 21:12:44.603,75,,
2013-09-17 21:12:45.193,,69,
2013-09-17 21:12:46.09,,,76
2013-09-17 21:12:47.604,75,,
2013-09-17 21:12:48.194,,69,
2013-09-17 21:12:49.091,,,76
2013-09-17 21:12:50.605,74,,
2013-09-17 21:12:51.195,,69,
2013-09-17 21:12:52.092,,,76
2013-09-17 21:12:53.607,74,,
2013-09-17 21:12:54.196,,69,
2013-09-17 21:12:55.093,,,75
2013-09-17 21:12:56.608,73,,
2013-09-17 21:12:57.197,,69,
2013-09-17 21:12:58.095,,,76
2013-09-17 21:12:59.609,74,,
2013-09-17 21:13:00.198,,69,
2013-09-17 21:13:01.096,,,75
2013-09-17 21:13:02.61,74,,
2013-09-17 21:13:03.199,,69,
2013-09-17 21:13:04.097,,,75
2013-09-17 21:13:05.611,74,,
2013-09-17 21:13:06.2,,69,
2013-09-17 21:13:07.099,,,75
2013-09-17 21:13:08.612,73,,
2013-09-17 21:13:09.201,,69,
2013-09-17 21:13:10.101,,,75
2013-09-17 21:13:11.614,74,,
2013-09-17 21:13:12.202,,69,
2013-09-17 21:13:13.103,,,76
2013-09-17 21:13:14.615,73,,
2013-09-17 21:13:15.203,,69,
2013-09-17 21:13:16.105,,,75
2013-09-17 21:13:17.617,75,,
2013-09-17 21:13:18.204,,69,
2013-09-17 21:13:19.107,,,75
2013-09-17 21:13:20.618,75,,
2013-09-17 21:13:21.205,,69,
2013-09-17 21:13:22.108,,,75
2013-09-17 21:13:23.619,74,,
2013-09-17 21:13:24.206,,69,
2013-09-17 21:13:25.109,,,76
2013-09-17 21:13:26.62,74,,
2013-09-17 21:13:27.207,,69,
2013-09-17 21:13:28.11,,,76
2013-09-17 21:13:29.621,73,,
2013-09-17 21:13:30.208,,69,
2013-09-17 21:13:31.111,,,75
2013-09-17 21:13:32.623,73,,
2013-09-17 21:13:33.209,,69,
2013-09-17 21:13:34.113,,,75
2013-09-17 21:13:35.624,74,,
2013-09-17 21:13:36.21,,69,
2013-09-17 21:13:37.114,,,75
2013-09-17 21:13:38.625,74,,
2013-09-17 21:13:39.211,,69,
2013-09-17 21:13:40.115,,,75
2013-09-17 21:13:41.626,75,,
2013-09-17 21:13:42.212,,69,
2013-09-17 21:13:43.116,,,75
2013-09-17 21:13:44.627,73,,
2013-09-17 21:13:45.213,,69,
2013-09-17 21:13:46.117,,,75
2013-09-17 21:13:47.629,73,,
2013-09-17 21:13:48.214,,69,
2013-09-17 21:13:49.118,,,76
2013-09-17 21:13:50.63,74,,
2013-09-17 21:13:51.215,,69,
2013-09-17 21:13:52.119,,,76
2013-09-17 21:13:53.631,74,,
2013-09-17 21:13:54.216,,69,
2013-09-17 21:13:55.12,,,76
2013-09-17 21:13:56.632,75,,
2013-09-17 21:13:57.217,,69,
2013-09-17 21:13:58.121,,,76
2013-09-17 21:13:59.633,75,,
2013-09-17 21:14:00.218,,69,
2013-09-17 21:14:01.123,,,76
2013-09-17 21:14:02.634,74,,
2013-09-17 21:14:03.219,,69,
2013-09-17 21:14:04.124,,,76
2013-09-17 21:14:05.635,73,,
2013-09-17 21:14:06.22,,69,
2013-09-17 21:14:07.125,,,76
2013-09-17 21:14:08.636,73,,
2013-09-17 21:14:09.221,,69,
2013-09-17 21:14:10.127,,,76
2013-09-17 21:14:11.637,74,,
2013-09-17 21:14:12.222,,69,
2013-09-17 21:14:13.128,,,76
2013-09-17 21:14:14.638,74,,
2013-09-17 21:14:15.223,,69,
2013-09-17 21:14:16.129,,,76
2013-09-17 21:14:17.639,75,,
2013-09-17 21:14:18.224,,69,
2013-09-17 21:14:19.13,,,75
2013-09-17 21:14:20.64,74,,
2013-09-17 21:14:21.225,,69,
2013-09-17 21:14:22.132,,,75
2013-09-17 21:14:23.641,73,,
2013-09-17 21:14:24.226,,69,
2013-09-17 21:14:25.133,,,76
2013-09-17 21:14:26.642,74,,
2013-09-17 21:14:27.227,,69,
2013-09-17 21:14:28.134,,,75
2013-09-17 21:14:29.643,75,,
2013-09-17 21:14:30.228,,69,
2013-09-17 21:14:31.136,,,75
2013-09-17 21:14:32.644,75,,
2013-09-17 21:14:33.229,,69,
2013-09-17 21:14:34.138,,,75
2013-09-17 21:14:35.645,74,,
2013-09-17 21:14:36.23,,69,
2013-09-17 21:14:37.139,,,76
2013-09-17 21:14:38.646,73,,
2013-09-17 21:14:39.231,,69,
2013-09-17 21:14:40.14,,,75
2013-09-17 21:14:41.648,73,,
2013-09-17 21:14:42.232,,69,
2013-09-17 21:14:43.141,,,75
2013-09-17 21:14:44.649,74,,
2013-09-17 21:14:45.233,,69,
2013-09-17 21:14:46.143,,,75
2013-09-17 21:14:47.65,74,,
2013-09-17 21:14:48.234,,69,
2013-09-17 21:14:49.144,,,75
2013-09-17 21:14:50.651,74,,
2013-09-17 21:14:51.235,,69,
2013-09-17 21:14:52.146,,,75
2013-09-17 21:14:53.652,73,,
2013-09-17 21:14:54.236,,69,
